,loss,accuracy,val_loss,val_accuracy
0,4.710843563079834,0.010814464651048183,4.598325252532959,0.015093489550054073
1,4.59624719619751,0.01402500830590725,4.590443134307861,0.014192385599017143
2,4.579463005065918,0.020615072920918465,4.568217754364014,0.019599009305238724
3,4.551967144012451,0.024050917476415634,4.554425239562988,0.021401217207312584
4,4.527307987213135,0.026923509314656258,4.5513458251953125,0.017796801403164864
5,4.506371021270752,0.02844429388642311,4.535467147827148,0.020725388079881668
6,4.474485397338867,0.033795200288295746,4.507564067840576,0.028835322707891464
7,4.43348503112793,0.037231046706438065,4.482213020324707,0.03153863549232483
8,4.387063980102539,0.04218767583370209,4.453333854675293,0.03311556577682495
9,4.316445350646973,0.0487777404487133,4.4199700355529785,0.04370353743433952
10,4.216870307922363,0.059761181473731995,4.336757183074951,0.04978598654270172
11,4.112084865570068,0.06916750967502594,4.281017780303955,0.06059923395514488
12,3.9889237880706787,0.0815027579665184,4.197082996368408,0.06037395820021629
13,3.8454692363739014,0.09687957912683487,4.169517993927002,0.07366523891687393
14,3.7017605304718018,0.11479103565216064,4.042434215545654,0.08267627656459808
