,loss,accuracy,val_loss,val_accuracy
0,4.722798824310303,0.01199729647487402,4.604752540588379,0.015093489550054073
1,4.603396892547607,0.013236453756690025,4.604668617248535,0.014868213795125484
2,4.601569175720215,0.013518080115318298,4.6066107749938965,0.015544041059911251
3,4.597521781921387,0.014419285580515862,4.602663993835449,0.015994593501091003
4,4.588759422302246,0.015827419236302376,4.621226787567139,0.01689569652080536
5,4.572317123413086,0.019375914707779884,4.585934638977051,0.018923180177807808
6,4.524573802947998,0.02450152114033699,4.563681602478027,0.0241045281291008
7,4.4449639320373535,0.03176748752593994,4.492483139038086,0.03311556577682495
8,4.362952709197998,0.04218767583370209,4.473286151885986,0.04054967314004898
9,4.281448841094971,0.04922834411263466,4.443349838256836,0.03762108460068703
10,4.2004876136779785,0.05824039503931999,4.412075996398926,0.04595629498362541
11,4.123392581939697,0.0691111832857132,4.421765327453613,0.04753322899341583
12,4.053930759429932,0.08291089534759521,4.400435447692871,0.0502365380525589
13,3.95963978767395,0.09631632268428802,4.367414474487305,0.06533002853393555
14,3.8479084968566895,0.11349555104970932,4.325878620147705,0.0662311315536499
15,3.741271734237671,0.13151966035366058,4.278502464294434,0.0743410661816597
16,3.5984346866607666,0.14988172054290771,4.229759693145752,0.08605542033910751
17,3.441751718521118,0.1723555326461792,4.190759658813477,0.09709393978118896
18,3.2489492893218994,0.19922271370887756,4.073253154754639,0.10407749563455582
19,3.0707945823669434,0.2278359830379486,4.041146755218506,0.10970939695835114
20,2.9145455360412598,0.25177425146102905,4.001555442810059,0.12435232847929001
21,2.7724552154541016,0.27740228176116943,4.157347202301025,0.1263798177242279
22,2.6293423175811768,0.3052833080291748,3.94335675239563,0.14012165367603302
23,2.4896743297576904,0.3328264057636261,3.9912242889404297,0.14147330820560455
24,2.3277668952941895,0.36572039127349854,3.9783549308776855,0.15498986840248108
25,2.217957019805908,0.389658659696579,4.080798625946045,0.1504843384027481
26,2.1026265621185303,0.4159626066684723,4.0536088943481445,0.16400089859962463
27,1.9649693965911865,0.4480680525302887,4.0534162521362305,0.1644514501094818
28,1.869340419769287,0.4704292118549347,3.8920676708221436,0.1705339103937149
29,1.74832022190094,0.5041117668151855,4.031714916229248,0.1826988011598587
